ISIN,PARENT ID,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Return On Asset,Return On Equity,Total Debt to Asset,WACC Cost of Debt,Issuer Credit Rating,Market of Issue,Country of Issue,Sector,Use of Proceeds,Principal Currency,Maturity,Issue Date,Coupon,Amount Issued (USD),Preferred RIC,Issuer
KR6003493B75,4295881084,75.89,65.53,83.35,76.3,6.89,-7.22,0.47,0.05,AA-,Domestic,South Korea,Airline,Clean Transport,South Korean Won,05/07/2024,07/07/2021,3.67,103415587,KR6003493B7=,Korean Air Lines Co Ltd
SE0013719788,4298008633,60.23,61.22,55.5,64.47,13.2,12.73,0.37,0.06,A+,Domestic,Sweden,Service ,Clean Transport,Euro,08/07/2024,08/07/2021,6.25,45085662,SE0013719788=,Eastnine AB (publ)
KR6012335B78,4295881489,67.06,61.1,79.65,53.94,4.76,12.73,0.07,0.05,AA-,Domestic,South Korea,Vehicle Parts,Clean Transport,South Korean Won,09/07/2024,09/07/2021,1.59,107724569,KR6012335B7=,Hyundai Mobis Co Ltd
JP304088AK70,4295878495,37.67,68.98,25.59,12.49,4.1,12.73,0.43,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,18/07/2024,18/07/2019,0.22,47742463,JP00138954=,Orix JREIT Inc
NZCEND0050L0,4295885081,54.09,51.01,50.7,63.71,4.89,6.74,0.21,0.05,AA-,Domestic,New Zealand,Utility ,Other,New Zealand Dollar,15/08/2024,01/03/2019,3.55,59379954,NZCEN0824=,Contact Energy Ltd
TH3545034805,4298077124,57.37,57.14,60.61,53.53,8.56,20.34,0.53,0.03,A+,Domestic,Thailand,Oil and Gas,Energy Efficiency,Thai Baht,15/08/2024,15/08/2019,3.11,40236051,EA248A=TS,Energy Absolute PCL
SE0011643311,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,21/08/2024,21/05/2019,1.67,46161231,SE0011643311=,Atrium Ljungberg AB
SE0011643303,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,21/08/2024,21/05/2019,2.67,27696739,SE0011643303=,Atrium Ljungberg AB
FR0013405537,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Domestic,France,Banking,Energy Efficiency,Euro,28/08/2024,28/02/2019,1.13,751427712,FR0013405537=,BNP Paribas SA
SE0014808820,5047820438,43.41,39.15,26.09,66.56,9.7,12.73,0.54,0.07,A+,Domestic,Sweden,Service ,Clean Transport,Swedish Krona,09/09/2024,09/09/2020,5.92,36928985,SE0014808820=,Genova Property Group AB
SE0012676484,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,General Purpose,Swedish Krona,10/09/2024,10/09/2019,2.65,46161231,SE0012676484=,Fabege AB
JP321580AK93,4295876888,47.84,67.05,33.43,38.34,5,4.63,0.18,0,BBB,Domestic,Japan,Chemicals,Environmentally Products,Japanese Yen,12/09/2024,12/09/2019,0.11,34101759,JP00074118=,Kaneka Corp
JP389320AK95,4295880542,58.64,86.3,60.9,29.41,2.83,6.59,0.45,0.01,AA-,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,12/09/2024,12/09/2019,0.09,341017596,JP00688801=,Mitsui Fudosan Co Ltd
KR6034221B95,4295882602,74.58,73.82,79.14,70.62,-3.94,-0.8,0.33,0.05,AA-,Domestic,South Korea,Electronics,Circular Economy,South Korean Won,14/09/2024,14/09/2021,2.29,208267501,KR6034221B9=,LG Display Co Ltd
FR0013534518,4296004552,75.18,95.1,72.2,43.59,4,4.28,0.02,0.03,BBB,Domestic,France,Utility ,Energy Efficiency,Euro,14/09/2024,14/09/2020,0,2404568669,FR0013534518=,E.D.F.
TH7411034906,4295892862,37.95,38.67,44.65,28,3.77,10.07,0.44,0.07,BBB,Domestic,Thailand,Utility ,Eligible Green Projects,Thai Baht,15/09/2024,15/09/2021,1.64,52728710,BCPG249A=TS,BCPG PCL
SE0013882883,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,17/10/2024,17/03/2021,0.93,13848369,SE0013882883=,Fabege AB
SE0017132681,5000037373,34.1,33.61,40.43,27.62,10.2,-1.4,0.52,0.06,A+,Domestic,Sweden,Service ,Energy Efficiency,Swedish Krona,21/10/2024,21/01/2022,4.03,216957790,SE0017132681=,Corem Property Group AB
SE0013883287,5000471391,29.41,14.54,40.17,31.96,8.4,4.29,0.46,0.06,A+,Domestic,Sweden,Real Estate,Climate Change Adaptation,Swedish Krona,01/11/2024,01/11/2021,2.74,36928985,SE0013883287=,Platzer Fastigheter Holding AB (publ)
ES0305079008,5043378579,80.71,76.65,90.81,77.24,4.2,12.73,0.13,0.05,A+,Domestic,Spain,Utility ,Energy Efficiency,Euro,08/11/2024,08/11/2019,4.75,22041879,ES30507900=,Grenergy Renovables SA
SE0013883303,4295889799,52.21,62.69,59.57,34,10.6,10.55,0.5,0.06,BB-,Domestic,Sweden,Financial ,Climate Change Adaptation,Swedish Krona,18/11/2024,18/11/2021,2.96,46161231,SE0013883303=,Dios Fastigheter AB
SE0016798227,5044199177,32.48,42.72,29.34,24.1,6.4,12.73,0.26,0.06,A+,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,23/11/2024,23/11/2021,5.81,46161231,SE0016798227=,Wastbygg Gruppen AB (publ)
JP373480BKB2,4295876533,64.28,86.11,56.46,48.35,6.97,11.13,0.22,0,BBB,Domestic,Japan,Electronics,Capital expenditure,Japanese Yen,28/11/2024,28/11/2019,0.09,204610557,JP00106594=,Nidec Corp
SE0013103801,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,06/12/2024,06/12/2019,2.52,18464492,SE0013103801=,Kungsleden AB
SE0013103793,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,06/12/2024,06/12/2019,1.51,18464492,SE0013103793=,Kungsleden AB
BE0002269380,4295859240,77.67,77.11,67.16,88.2,3.3,4.74,0.42,0.04,A1,Domestic,Belgium,Financial ,Eligible Green Projects,Euro,09/12/2024,09/12/2016,2,55104698,BE0002269380=,Cofinimmo SA
JP335880AKC0,4295876953,60.46,73.83,67.02,32.73,2.67,11.1,0.23,0,BBB,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,12/12/2024,12/12/2019,0.11,68203519,JP00261803=,Shimizu Corp
SE0013360690,5045821131,14.27,28.09,8.21,7.59,11.7,13.81,0.62,0.06,A+,Domestic,Sweden,Financial ,Energy Efficiency,Swedish Krona,18/12/2024,18/03/2022,6.03,27696739,SE0013360690=,K2A Knaust & Andersson Fastigheter AB (publ)
SE0013360716,5061191629,37.66,31.47,30.65,51.35,5.35,8.75,0.58,0.06,A+,Domestic,Sweden,Service ,Green Construction,Euro,29/12/2024,29/03/2022,5.23,50095180,SE0013360716=,Cibus Nordic Real Estate AB (publ)
SE0013382280,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,09/01/2025,09/01/2020,0,923224,SE0013382280=,BNP Paribas SA
JP356920AL14,5040060538,69.24,79.67,81.06,46.14,3.45,3.7,0.55,0.05,A+,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,23/01/2025,23/01/2020,0.19,68203519,JP00223289=,Tokyu Fudosan Holdings Corp
KR6009831C15,4295881065,58.64,56.79,59.94,59.71,3.3,12.73,0.32,0.05,AA-,Domestic,South Korea,Chemicals,Renewable Energy,South Korean Won,24/01/2025,24/01/2022,2.77,197495044,KR6009831C1=,Hanwha Solutions Corp
XS2434935875,4295864046,65.54,83.32,70.28,43.13,1.08,16.61,0.25,0.04,Ba3,Eurobond,European Union,Service ,Climate Change Adaptation,US Dollar,27/01/2025,27/01/2022,2.3,400000000,CN243493587=,Greentown China Holdings Ltd
JP320045AL10,4295876581,68.6,43.85,63.98,84.88,2.3,6.35,0.34,0.05,BBB,Domestic,Japan,Leasing,Clean Transport,Japanese Yen,30/01/2025,30/01/2020,0.19,68203519,JP01978591=,ORIX Corp
NO0010874050,4295885483,74.52,61.55,87.29,66.72,12.9,9.61,0.3,0.03,BB-,Domestic,Norway,Food Processors,Circular Economy,Euro,31/01/2025,31/01/2020,1.84,200380723,NO1087405=,Mowi ASA
KR6000881C21,4295881078,47.6,25,37.69,66.7,0.87,12.73,0.11,0.05,AA-,Domestic,South Korea,Chemicals,Clean Transport,South Korean Won,07/02/2025,08/02/2022,3.1,71816379,KR6000881C2=,Hanwha Corp
SE0013104361,5000037373,21.58,13.49,17.33,34.09,4.1,9.1,0.52,0,A+,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,10/02/2025,10/02/2021,4.66,230806159,SE0013104361=,Corem Kelly AB
KR6034221C29,4295882602,74.58,73.82,79.14,70.62,-3.94,-0.8,0.33,0.05,AA-,Domestic,South Korea,Electronics,Circular Economy,South Korean Won,21/02/2025,23/02/2022,3.31,229812415,KR6034221C2=,LG Display Co Ltd
JP321020AL25,4295880530,48.07,64.97,36.98,39.68,4.33,13.64,0.19,0,AA-,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,28/02/2025,28/02/2020,0.11,68203519,JP00461812=,Kajima Corp
SE0013883451,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Green Construction,Swedish Krona,28/02/2025,28/02/2022,2.27,36928985,SE0013883451=,Fabege AB
SE0015659636,5044714542,39.14,24.97,36.14,56.14,1.3,23.82,0.3,0,A+,Domestic,Sweden,Service ,Eligible Green Projects,Swedish Krona,18/03/2025,18/03/2021,8.53,46161231,SE0015659636=,Magnolia Bostad AB
SE0013359882,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,01/04/2025,01/10/2020,1.12,46161231,SE0013359882=,Atrium Ljungberg AB
SE0013104791,5045821131,14.27,28.09,8.21,7.59,11.7,13.81,0.62,0.06,A+,Domestic,Sweden,Financial ,Energy Efficiency,Swedish Krona,01/04/2025,01/10/2021,4.89,36928985,SE0013104791=,K2A Knaust & Andersson Fastigheter AB (publ)
KR6003671C45,4295881204,50.8,43.84,55.09,56.94,4.67,12.73,0.25,0.06,AA-,Domestic,South Korea,Industrials ,Clean Transport,South Korean Won,14/04/2025,14/04/2022,3.59,143632759,KR6003671C4=,Posco Chemical Co Ltd
SE0013883543,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,28/04/2025,28/04/2022,3.26,73857971,SE0013883543=,Atrium Ljungberg AB
SE0013883535,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,28/04/2025,28/04/2022,2.74,64625724,SE0013883535=,Atrium Ljungberg AB
TH7545A35500,5001110722,63,50.56,65.36,81.1,1.5,9.13,0.65,0.07,A+,Domestic,Thailand,Utility ,Renewable Energy,Thai Baht,11/05/2025,11/05/2022,2.86,8047210,BGRIM255B=TS,BGrimm Power PCL
JP304639AL57,4295877304,37.28,71.39,25.89,8.19,2.4,12.73,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,27/05/2025,27/05/2020,0.34,16368844,JP00108984=,Daiwa House REIT Investment Corp
TH7846A35601,4295893324,59.83,46.62,74.42,64.71,4.65,6.32,0.46,0.04,BBB,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,01/06/2025,01/06/2022,3.06,47493403,WHAUP256B=TS,Wha Utilities and Power PCL
FR0013515707,4296754257,27.67,18.93,25.37,45.51,1,2.4,0.05,0.05,A+,Domestic,France,Utility ,Energy Efficiency,Euro,02/06/2025,02/06/2020,2,170323583,FR0013515707=,Neoen
NO0012539107,4295885600,38.02,52.42,40.16,29.3,1.17,12.42,0.51,0.06,BB-,Domestic,Norway,Banking,Green Construction,Norwegian Krone,03/06/2025,03/06/2022,3.57,97780385,NO0012539107=TE,Sparebanken Vest
CH0461238906,4295890944,73.86,96.85,74.41,65.56,0.5,6.4,0.03,0.02,BBB,Domestic,Switzerland,Life Insurance,Energy Efficiency,Swiss Franc,06/06/2025,06/12/2019,0,253036437,CH46123890=,Swiss Life Holding AG
TH6488035606,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,10/06/2025,10/06/2022,2.55,26490066,GPSC256A=TS,Global Power Synergy PCL
SE0013104635,4295890481,49.94,62.23,47.08,41.21,2.9,18.53,0.44,0.04,BBB,Domestic,Sweden,Service ,Energy Efficiency,Swedish Krona,16/06/2025,16/06/2021,2.91,87706340,SE0013104635=,Catena AB
SE0013104627,4295890481,49.94,62.23,47.08,41.21,2.9,18.53,0.44,0.04,BBB,Domestic,Sweden,Service ,Energy Efficiency,Swedish Krona,16/06/2025,16/06/2021,1.59,41545108,SE0013104627=,Catena AB
TH0481035606,4295892911,78.65,72.15,91.67,70.6,3.8,13.56,0.49,0.06,BBB,Domestic,Thailand,Retail Stores ,Clean Transport,Thai Baht,17/06/2025,17/06/2022,2.59,26766595,THCPN256A=,Central Pattana PCL
JP311120AL66,4295877330,75.88,87.04,58.01,86.42,5.22,5.97,0.23,0,BBB,Domestic,Japan,Chemicals,Renewable Energy,Japanese Yen,19/06/2025,19/06/2020,0.12,68203519,JP00133407=,Asahi Kasei Corp
NZMELDT042C4,4296705325,53.08,62.99,46.08,45.32,4.25,4.5,0.13,0.05,A+,Domestic,New Zealand,Utility ,General Purpose,New Zealand Dollar,27/06/2025,27/06/2018,4.21,118759909,NZMEL0625=,Meridian Energy Ltd
ES0380907057,5037359859,46.29,14.12,70.05,26.44,0.29,2,0.02,0.04,A+,Domestic,Spain,Banking,Energy Efficiency,Euro,30/06/2025,30/06/2022,4.5,500951808,ES38090705=,Unicaja Banco SA
SE0013883105,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,01/07/2025,01/07/2021,2.84,73857971,SE0013883105=,Atrium Ljungberg AB
US57779BAA26,5071539692,53.69,54.14,72.85,37.86,-23.5,12.73,0.16,0.07,A+,Foreign,United States,Service ,Energy Efficiency,US Dollar,15/07/2025,17/07/2020,6.5,200000000,57779BAA2=,Maxeon Solar
JP341475BL71,4295879777,81.56,88.86,78.89,80.24,4.76,5.63,0.19,0.01,AA-,Domestic,Japan,Electronics,Capital expenditure,Japanese Yen,16/07/2025,16/07/2020,0.23,272814077,JP00216724=,Seiko Epson Corp
JP330420BL70,4295877369,88.14,97.62,77.11,91.24,6.95,5.56,0.22,0.05,BBB,Domestic,Japan,Machinery,Energy Efficiency,Japanese Yen,16/07/2025,16/07/2020,0.13,68203519,JP00146301=,Komatsu Ltd
DE000AAR0355,5081484112,73.35,41.57,71.36,88.79,0.3,-2.57,0.33,0.02,A+,Domestic,Germany,Banking,Energy Efficiency,Euro,25/07/2025,25/07/2022,4.5,500951808,DEAAR035=,Aareal Bank AG
INE528G08295,4295873396,63.58,61.73,58.03,71.95,0.44,-12.73,0.23,0.06,BBB,Domestic,India,Banking,Energy Efficiency,Indian Rupee,05/08/2025,05/08/2015,8.95,38506674,INYESB0525=,Yes Bank Ltd
TH6488035804,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,07/08/2025,07/08/2020,2.11,40149892,THGPSC258A=,Global Power Synergy PCL
NO0010931181,5000023083,60.17,48.07,62.76,77.38,-1.1,-8.05,0.58,0.06,A+,Domestic,Norway,Utility ,General Purpose,Euro,19/08/2025,19/02/2021,2.85,250475904,NO1093118=,Scatec ASA
NO0012626987,4295885437,45.43,15.04,48.57,53.25,1.35,12.39,0.15,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,22/08/2025,22/08/2022,3.52,95500038,NO0012626987=TE,Sparebank 1 Nord-Norge
NO0012629403,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,26/08/2025,26/08/2022,3.67,47750019,NO0012629403=TE,Sparebank 1 SMN
SE0013359791,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,27/08/2025,27/08/2020,2.94,69241847,SE0013359791=,Kungsleden AB
SE0017071517,5061191629,37.66,31.47,30.65,51.35,5.35,8.75,0.58,0.06,A+,Domestic,Sweden,Service ,Eligible Green Projects,Swedish Krona,02/09/2025,02/09/2022,7.24,64625724,SE0017071517=,Cibus Nordic Real Estate AB (publ)
JP350500BL97,4295876861,77.18,86.23,85.63,52.19,5.33,11,0.28,0.01,BBB,Domestic,Japan,Home Builders,Green Construction,Japanese Yen,12/09/2025,15/09/2020,0.13,136407038,JP00221925=,Daiwa House Industry Co Ltd
SE0013883188,5000471391,29.41,14.54,40.17,31.96,8.4,4.29,0.46,0.06,A+,Domestic,Sweden,Real Estate,Climate Change Adaptation,Swedish Krona,15/09/2025,15/09/2021,2.9,55393478,SE0013883188=,Platzer Fastigheter Holding AB (publ)
NO0010893332,4295885282,19,0.72,11.88,45.42,4.8,12.73,0.55,0.06,BB-,Domestic,Norway,Utility ,Eligible Green Projects,Norwegian Krone,22/09/2025,22/09/2020,5.59,68604582,NO1089333=,Bonheur ASA
SE0013882552,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,22/09/2025,22/09/2020,1.21,36928985,SE0013882552=,Fabege AB
SE0013882537,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,22/09/2025,22/09/2020,2.95,18464492,SE0013882537=,Fabege AB
SE0013407905,4295890178,82.3,85.35,86.16,71.61,15.35,15.17,0.08,0.03,BB,Domestic,Sweden,Metals/Mining,Clean Transport,Swedish Krona,22/09/2025,22/09/2022,3.8,92322463,SE0013407905=,Boliden AB
XS2516932931,5052855007,20.52,25.94,11.55,22.98,1.6,5.29,0.46,0.06,A+,Eurobond,European Union,Utility ,Energy Efficiency,US Dollar,22/09/2025,22/09/2022,4.8,100000000,CN251693293=,Jinko Power Technology Co Ltd
NO0012704099,5003638730,46.73,56.63,36.09,55.37,-1.9,-4.53,0.25,0.06,A+,Foreign,Norway,Financial ,Eligible Green Projects,Norwegian Krone,27/09/2025,27/09/2022,9.35,71625028,NO0012704099=TE,Benchmark Holdings PLC
TH9829035905,4295893275,64.26,45.83,60.49,77.83,5.47,79.78,0.36,0.04,BBB,Domestic,Thailand,Industrials ,Clean Transport,Thai Baht,28/09/2025,28/09/2022,2.97,14635444,STGT259A=TS,Sri Trang Gloves (Thailand) PCL
CH0494734426,5037631860,15.3,7.51,14.3,23.94,5.2,2.84,0.34,0.06,A+,Domestic,Switzerland,Home Builders,Eligible Green Projects,Swiss Franc,02/10/2025,02/10/2019,0.1,101214574,CH49473442=,Zug Estates Holding AG
JP311600BLA0,4295876498,84.65,88.76,82.05,84.5,3.73,6.12,0.35,0.01,BBB,Domestic,Japan,Beverage/Bottling,Eligible Green Projects,Japanese Yen,15/10/2025,15/10/2020,0.12,68203519,JP14012502=,Asahi Group Holdings Ltd
JP344040AJA6,4295878227,25.42,28.77,17.16,29.53,0.8,10.1,0.46,0.05,BBB,Domestic,Japan,Publishing,Pollution Control,Japanese Yen,24/10/2025,25/10/2018,0.61,102305278,JP00213880=,Daio Paper Corp
TH0637035B08,4295893366,57.37,56.21,58.59,57.78,5.13,10.43,0.39,0.06,BBB,Domestic,Thailand,Utility ,Clean Transport,Thai Baht,04/11/2025,04/11/2020,1.76,40236051,RATCH25NA=TS,Ratch Group PCL
TH0221035B01,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,06/11/2025,06/11/2020,2.86,40149892,THBTSG25NA=,BTS Group Holdings PCL
JP390000ALB7,4295877302,77.81,86.22,79.26,63.1,3.04,2.97,0.21,0.01,BBB,Domestic,Japan,Machinery,Energy Efficiency,Japanese Yen,21/11/2025,24/11/2020,0.14,170508798,JP00367011=,Mitsubishi Heavy Industries Ltd
JP325800ALB0,5000002397,71.3,81.54,61.17,77.63,6.16,8.58,0.22,0.01,A+,Domestic,Japan,Beverage/Bottling,Energy Efficiency,Japanese Yen,27/11/2025,27/11/2020,0.11,68203519,JP00182503=,Kirin Holdings Co Ltd
NO0011011256,5040945479,66.95,75.73,68.33,56.94,10.5,4.2,0.38,0.06,A+,Domestic,Norway,Service ,Eligible Green Projects,Norwegian Krone,28/11/2025,28/05/2021,1.96,98006546,NO1101125=,Entra ASA
FI4000496302,4295866518,68.69,71.85,75.11,54.53,4.15,4.24,0.25,0.05,BB,Domestic,Finland,Building Products,Climate Change Adaptation,Euro,15/01/2026,31/03/2021,3.25,100190361,FI4000496302=,YIT Oyj
SE0012194009,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,23/01/2026,23/01/2020,1.75,27696739,SE0012194009=,Kungsleden AB
KR6004022B16,4295881064,76.17,87.25,75.26,61.78,4.12,12.73,0.35,0.05,AA-,Domestic,South Korea,Metals/Mining,Energy Efficiency,South Korean Won,25/01/2026,25/01/2021,1.6,165177673,KR6004022B1=,Hyundai Steel Co
SE0013360054,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,03/02/2026,03/02/2021,2.39,32312862,SE0013360054=,Atrium Ljungberg AB
